[ 2017-02-15T10:17:12+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002902s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.001435s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001562s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001021s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001085s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001259s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001414s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006269s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006323s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000521s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.000528s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000482s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000640s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002354s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001614s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001725s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001252s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001351s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000858s ]
[ 2017-02-15T10:17:13+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000921s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000891s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.000978s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000869s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000935s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001106s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001178s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006849s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006925s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ContentReplace Behavior [ RunTime:0.000974s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run TokenBuild Behavior [ RunTime:0.001650s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000660s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000626s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004100s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001014s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001090s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001187s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001289s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001291s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001396s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --START--
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Run CheckRoute Behavior [ RunTime:0.000983s ]
[ 2017-02-15T10:17:14+08:00 ] /JSJD/admin.php/Login/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001051s ]
