[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.004386s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SELECT * FROM `czxy_profession`  [ RunTime:0.000452s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000416s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000470s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ParseTemplate Behavior [ RunTime:0.007333s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007418s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ContentReplace Behavior [ RunTime:0.000432s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run TokenBuild Behavior [ RunTime:0.000536s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000363s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000436s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001974s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000521s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000587s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run CheckRoute Behavior [ RunTime:0.001788s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.002043s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001170s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001306s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.006509s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.005079s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SELECT * FROM `czxy_profession`  [ RunTime:0.000396s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000535s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000602s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ParseTemplate Behavior [ RunTime:0.007899s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007982s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ContentReplace Behavior [ RunTime:0.000456s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run TokenBuild Behavior [ RunTime:0.000342s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000227s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000326s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001487s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --START--
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000326s ]
[ 2017-02-27T09:59:12+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000365s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run CheckRoute Behavior [ RunTime:0.001516s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001792s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001012s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001139s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.004709s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SHOW COLUMNS FROM `czxy_profession` [ RunTime:0.004196s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | SQL: SELECT * FROM `czxy_profession`  [ RunTime:0.000352s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run LocationTemplate Behavior [ RunTime:0.000468s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_template ] --END-- [ RunTime:0.000526s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ParseTemplate Behavior [ RunTime:0.005491s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_parse ] --END-- [ RunTime:0.005571s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ContentReplace Behavior [ RunTime:0.000398s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run TokenBuild Behavior [ RunTime:0.000313s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000219s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowRuntime Behavior [ RunTime:0.000336s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001454s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run ShowPageTrace Behavior [ RunTime:0.000346s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ view_end ] --END-- [ RunTime:0.000399s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --START--
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Run CheckRoute Behavior [ RunTime:0.001131s ]
[ 2017-02-27T09:59:13+08:00 ] /JSJD/admin.php/Classinfo/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.001318s ]
