[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000871s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000587s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.008285s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.008300s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000422s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run LocationTemplate Behavior [ RunTime:0.024390s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_template ] --END-- [ RunTime:0.024451s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | NOTIC: [8] Undefined variable: title 5cd5027347409348ea3c4a3ef6a97d6e.php 第 5 行.
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ParseTemplate Behavior [ RunTime:0.014256s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014319s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ContentReplace Behavior [ RunTime:0.000669s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run TokenBuild Behavior [ RunTime:0.000634s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000509s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ShowRuntime Behavior [ RunTime:0.000652s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002609s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Run ShowPageTrace Behavior [ RunTime:0.000739s ]
[ 2017-04-06T17:05:46+08:00 ] /JSJD/admin.php/System/rotateimg | INFO: Tag[ view_end ] --END-- [ RunTime:0.000800s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ route_check ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run CheckRoute Behavior [ RunTime:0.000811s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ route_check ] --END-- [ RunTime:0.000902s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000656s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.007214s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run LocationTemplate Behavior [ RunTime:0.000794s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_template ] --END-- [ RunTime:0.000856s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | NOTIC: [8] Undefined variable: title efe24268473ce2b5f06bdc3709b25331.php 第 5 行.
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run ParseTemplate Behavior [ RunTime:0.058166s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_parse ] --END-- [ RunTime:0.058211s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run ContentReplace Behavior [ RunTime:0.000644s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run TokenBuild Behavior [ RunTime:0.000618s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000463s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run ShowRuntime Behavior [ RunTime:0.000567s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002430s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_end ] --START--
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Run ShowPageTrace Behavior [ RunTime:0.000739s ]
[ 2017-04-06T17:05:49+08:00 ] /JSJD/admin.php/System/modifyPwd | INFO: Tag[ view_end ] --END-- [ RunTime:0.000794s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ route_check ] --START--
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Run CheckRoute Behavior [ RunTime:0.000825s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ route_check ] --END-- [ RunTime:0.000936s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ app_begin ] --START--
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000881s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000963s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.029148s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ view_template ] --START--
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Run LocationTemplate Behavior [ RunTime:0.000856s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ view_template ] --END-- [ RunTime:0.000942s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ view_parse ] --START--
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | NOTIC: [8] Undefined index: COMMON_ON e3a83fac9682fbabf93c11e5e142e179.php 第 38 行.
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | NOTIC: [8] Undefined index: COMMON_ON e3a83fac9682fbabf93c11e5e142e179.php 第 39 行.
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Run ParseTemplate Behavior [ RunTime:0.014268s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014328s ]
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Tag[ view_filter ] --START--
[ 2017-04-06T17:05:50+08:00 ] /JSJD/admin.php/System/setting | INFO: Run ContentReplace Behavior [ RunTime:0.000792s ]
