[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.007719s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_template ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run LocationTemplate Behavior [ RunTime:0.000815s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000867s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_parse ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | NOTIC: [8] Undefined variable: title e09cdf40ff5da957195455de1e8aadcf.php 第 5 行.
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | NOTIC: [8] Undefined variable: title e09cdf40ff5da957195455de1e8aadcf.php 第 21 行.
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | NOTIC: [8] Undefined variable: CData e09cdf40ff5da957195455de1e8aadcf.php 第 33 行.
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | NOTIC: [8] Undefined variable: page e09cdf40ff5da957195455de1e8aadcf.php 第 53 行.
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ParseTemplate Behavior [ RunTime:0.012853s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012898s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_filter ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ContentReplace Behavior [ RunTime:0.000799s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run TokenBuild Behavior [ RunTime:0.001134s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001543s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ShowRuntime Behavior [ RunTime:0.000898s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004524s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_end ] --START--
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000856s ]
[ 2017-03-08T11:06:34+08:00 ] /JSJD/admin.php/Stu/showQuality/id/2 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000900s ]
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001312s ]
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001427s ]
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001061s ]
[ 2017-03-08T11:07:13+08:00 ] /JSJD/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001114s ]
