[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002554s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | SQL: SHOW COLUMNS FROM `czxy_privilege` [ RunTime:0.002778s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | SQL: SELECT * FROM `czxy_privilege`  [ RunTime:0.000429s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run ParseTemplate Behavior [ RunTime:0.029393s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.029438s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --START--
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run ContentReplace Behavior [ RunTime:0.000253s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000236s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000226s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000408s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001259s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --START--
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000565s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000639s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.001052s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.001154s ]
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2017-06-02T00:04:16+08:00 ] /JSJD/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000609s ]
