[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000306s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000253s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.003479s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SELECT `id`,`title`,`img`,`summary` FROM `czxy_news` ORDER BY sort DESC LIMIT 4   [ RunTime:0.000384s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_partyactivity` [ RunTime:0.003332s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SELECT `id`,`title`,`starttime` FROM `czxy_partyactivity` ORDER BY endtime ASC LIMIT 5   [ RunTime:0.000287s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.001975s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | SQL: SELECT `id`,`racename`,`smallimg` FROM `czxy_subjectrace` WHERE id=(SELECT MAX(id) FROM czxy_subjectrace) LIMIT 1   [ RunTime:0.000380s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | INFO: Tag[ view_template ] --START--
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000411s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000478s ]
[ 2017-06-01T08:31:06+08:00 ] /JSJD/mobile.php | INFO: Tag[ view_parse ] --START--
