[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Run TokenBuild Behavior [ RunTime:0.002038s ]
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001612s ]
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001999s ]
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007667s ]
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Tag[ view_end ] --START--
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001950s ]
[ 2017-05-16T20:40:16+08:00 ] /JSJD/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002075s ]
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002128s ]
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002314s ]
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000385s ]
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000424s ]
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-16T20:40:26+08:00 ] /JSJD/index.php/Login/index | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.003399s ]
