[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run TokenBuild Behavior [ RunTime:0.000269s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000116s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run ShowRuntime Behavior [ RunTime:0.000263s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001054s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/JSJD/Index/Lib/Action/SubjectraceAction.class.php:31) View.class.php 第 120 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/JSJD/Index/Lib/Action/SubjectraceAction.class.php:31) View.class.php 第 121 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | NOTIC: [2] Cannot modify header information - headers already sent by (output started at /Applications/MAMP/htdocs/JSJD/Index/Lib/Action/SubjectraceAction.class.php:31) View.class.php 第 122 行.
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_end ] --START--
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000348s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000400s ]
[ 2017-06-02T15:42:31+08:00 ] /JSJD/index.php/Subjectrace/index/did/4 | INFO: Tag[ route_check ] --START--
