[ 2017-05-13T21:41:16+08:00 ] /JSJD/index.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000482s ]
[ 2017-05-13T21:41:16+08:00 ] /JSJD/index.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000562s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --START--
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000344s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000412s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_systemconfig` [ RunTime:0.001772s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_systemconfig` WHERE ( `ckey` = 'rotateimg' )  [ RunTime:0.000342s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_news` [ RunTime:0.002041s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_news` LIMIT 5   [ RunTime:0.000239s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SHOW COLUMNS FROM `czxy_subjectrace` [ RunTime:0.001931s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | SQL: SELECT * FROM `czxy_subjectrace` ORDER BY id DESC LIMIT 3   [ RunTime:0.000291s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --START--
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000240s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000282s ]
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | INFO: Tag[ view_parse ] --START--
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/top.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/luenhuan.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [2] file_get_contents(./Index/Tpl/Public/footer.html): failed to open stream: No such file or directory ThinkTemplate.class.php 第 702 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2017-05-13T21:41:24+08:00 ] /JSJD/index.php | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
